rank,movie,boxoffice,in_millions
514,"Valentine's Day (2010)",110476776,110.476776
515,"Tropic Thunder (2008)",110416702,110.416702
516,"Spy (2015)",110349112,110.349112
517,"Fun with Dick and Jane (2005)",110332737,110.332737
518,"Freaky Friday (2003)",110222438,110.222438
519,"The Grudge (2004)",110175871,110.175871
520,"Scary Movie 3 (2003)",110000082,110.000082
521,"Bedtime Stories (2008)",109993847,109.993847
522,"The Little Mermaid (1989)",109859444,109.859444
523,"Star Trek IV: The Voyage Home (1986)",109713132,109.713132
524,"Crocodile Dundee II (1988)",109306210,109.30621
525,"The 40-Year-Old Virgin (2005)",109243478,109.243478
526,"Couples Retreat (2009)",109176215,109.176215
527,"A Time to Kill (1996)",108706165,108.706165
528,"Black Hawk Down (2001)",108638745,108.638745
529,"Terms of Endearment (1983)",108423489,108.423489
530,"Ace Ventura: When Nature Calls (1995)",108360000,108.36
531,"The Princess Diaries (2001)",108244774,108.244774
532,"Superman II (1980)",108200000,108.2
533,"Hop (2011)",108012170,108.01217
534,"Pulp Fiction (1994)",107930000,107.93
535,"Paranormal Activity (2007)",107917283,107.917283
536,"Epic (2013)",107515297,107.515297
537,"Watchmen (2009)",107503316,107.503316
538,"A League of Their Own (1992)",107458785,107.458785
539,"Batman & Robin (1997)",107285004,107.285004
540,"Captain Phillips (2013)",107100855,107.100855
541,"Black Swan (2010)",106952327,106.952327
542,"Miss Congeniality (2000)",106807667,106.807667
543,"Chicken Run (2000)",106793915,106.793915
544,"Analyze This (1999)",106694016,106.694016
545,"GoldenEye (1995)",106635996,106.635996
546,"Indecent Proposal (1993)",106614100,106.6141
547,"Driving Miss Daisy (1989)",106593296,106.593296
548,"Love Story (1970)",106400000,106.4
549,"300: Rise of an Empire (2014)",106369117,106.369117
550,"Kramer vs. Kramer (1979)",106300000,106.3
551,"The Italian Job (2003)",106126012,106.126012
552,"Every Which Way But Loose (1978)",105918400,105.9184
553,"How to Lose a Guy in 10 Days (2003)",105807520,105.80752
554,"Porky's (1981)",105500000,105.5
555,"The First Wives Club (1996)",105444419,105.444419
556,"Interview with the Vampire: The Vampire Chronicles (1994)",105264608,105.264608
557,"George of the Jungle (1997)",105263257,105.263257
558,"Robin Hood (2010)",105219735,105.219735
559,"Trainwreck (2015)",105081865,105.081865
560,"Phenomenon (1996)",104632573,104.632573
561,"The Graduate (1967)",104397102,104.397102
562,"The Chronicles of Narnia: The Voyage of the Dawn Treader (2010)",104383624,104.383624
563,"The Princess and the Frog (2009)",104374107,104.374107
564,"American Wedding (2003)",104354205,104.354205
565,"Daddy Day Care (2003)",104148781,104.148781
566,"Road to Perdition (2002)",104054514,104.054514
567,"Paranormal Activity 3 (2011)",104007828,104.007828
568,"Journey 2: The Mysterious Island (2012)",103812241,103.812241
569,"Dick Tracy (1990)",103738726,103.738726
570,"Rise of the Guardians (2012)",103400692,103.400692
571,"Dreamgirls (2006)",103338338,103.338338
572,"Nine to Five (1980)",103290500,103.2905
573,"Just Go with It (2011)",103028109,103.028109
574,"Scream (1996)",103001286,103.001286
575,"The Expendables (2010)",102981571,102.981571
576,"Jaws 2 (1978)",102922376,102.922376
577,"Bambi (1942)",102797150,102.79715
578,"The General's Daughter (1999)",102678089,102.678089
579,"The Aviator (2004)",102608827,102.608827
580,"Daredevil (2003)",102543518,102.543518
581,"The Girl with the Dragon Tattoo (2011)",102515793,102.515793
582,"The Maze Runner (2014)",102413606,102.413606
583,"In the Line of Fire (1993)",102314283,102.314283
